project,commit,coveredClass,coveredClassPath,dstar,ochiai,tarantula,barinel,uniq_changes,developers,age,isSusFlaky
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BacklogQuotaManager,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BacklogQuotaManager.java,0.0103092783505154,0.101015254455221,0.6655172413793103,4.6178736825124723e-23,5,3,7268028.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$OwnedBundle,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/OwnedBundle.java,0.0103092783505154,0.101015254455221,0.6655172413793103,4.6178736825124723e-23,2,2,12000134.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.lookup$LookupResult,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/lookup/LookupResult.java,0.0103092783505154,0.101015254455221,0.6655172413793103,4.6178736825124723e-23,2,1,3245346.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$ClusterReplicationMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/ClusterReplicationMetrics.java,0.010204081632653,0.1005037815259212,0.6632302405498282,4.129706685161078e-23,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$BrokerOperabilityMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/BrokerOperabilityMetrics.java,0.010204081632653,0.1005037815259212,0.6632302405498282,4.129706685161078e-23,3,2,14993601.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats$DimensionStats,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/DimensionStats.java,0.010204081632653,0.1005037815259212,0.6632302405498282,4.129706685161078e-23,2,1,14993601.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.web$ResponseHandlerFilter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/web/ResponseHandlerFilter.java,0.0101010101010101,0.1,0.660958904109589,3.697296376497301e-23,1,1,28646919.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundles,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundles.java,0.0094339622641509,0.0966736489045663,0.6454849498327759,1.7559806621322854e-23,4,3,4703178.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BrokerService$3,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BrokerService.java,0.0092592592592592,0.0957826285221151,0.6411960132890365,1.432228586166483e-23,41,10,1608690.0,0.0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$NamespaceEphemeralData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/NamespaceEphemeralData.java,0.009009009009009,0.0944911182523068,0.6348684210526315,1.0623114917332724e-23,2,1,14966325.0,0.0
