Name	Commit		GitHub URL	Parent commit	Test Name	Date	Modyfing	Comments	Categories Guillaume	Categories Adriano	Categories final decision	Module suspected to be flaky	Line rank	Method rank	Class rank	Class rank (worst case)	Within the top x% (churn)  	top x% (# of developers)  	top x% (age)  		#Tests	#Classes	#CoveredClasses	#CoveredClassesByFlakyTests
Alluxio/alluxio	c5b1283b8d8561cbeab1c3bc4b63d5a9f6a74e8c		https://github.com/Alluxio/alluxio/commit/c5b1283b8d8561cbeab1c3bc4b63d5a9f6a74e8c	b5ad695b7b6072eeb190994d6fac16f57d27374c	CachingInodeStoreTest#*, InodeStoreTest#*		Test and Code		Concurrency	Concurency	Concurrency	RocksInodeStore,CachingInodeStore		29	1						409	143	88	19
Alluxio/alluxio	257da5887ffe441bbd4e742765a5f229b556d5e8		https://github.com/Alluxio/alluxio/commit/257da5887ffe441bbd4e742765a5f229b556d5e8				Code	1																
Alluxio/alluxio	d1b48938d9b8b1206333dabda1afac06ce0170cd		https://github.com/Alluxio/alluxio/commit/d1b48938d9b8b1206333dabda1afac06ce0170cd				Code	1																
Alluxio/alluxio	f69a519d64031935fc46ceffb8442e83f75859e9		https://github.com/Alluxio/alluxio/commit/f69a519d64031935fc46ceffb8442e83f75859e9				Test and Code	4																
Alluxio/alluxio	78d98fda1135e544fbf18d6882edc031043844eb		https://github.com/Alluxio/alluxio/commit/78d98fda1135e544fbf18d6882edc031043844eb				Code	1																
																								
apache/hbase	a5b86dd77ad2866b0ab3c1774738ecb15e8719c7		https://github.com/apache/hbase/commit/a5b86dd77ad2866b0ab3c1774738ecb15e8719c7	380083e7d3d9864cacd41a4297914d6789618d78	TestSimpleRpcScheduler		Code	4	Timeout			RpcExecutor				5	26.5	19.3	8.9					
apache/hbase	896b47381292ae44daa7c5880cefc09dda8a67e3		https://github.com/apache/hbase/commit/896b47381292ae44daa7c5880cefc09dda8a67e3	325bb00d23ba2d0088a2ba42a75aff8ffa1dde66	TestLockManager		Test and Code		Async wait	Concurency 	Concurrency	LockProcedure	77	14	2	2	36.8	56.8	37.2		2089	1543	678	303
apache/hbase	23ea2c36f52283631ce665e04f2af433fc25ae55		https://github.com/apache/hbase/commit/23ea2c36f52283631ce665e04f2af433fc25ae55	3aac047a4f23d0b3a1d83802ad39d6b2c5d23ffc	TestAsyncSnapshotAdminApi		Test and Code		Async wait	Async wait	Async wait	AsyncHBaseAdmin		13	1	1	27.5	75.8	10.9		469	1157	496	387
apache/hbase	cebb725a9f4ab8dd9d3f306d21d53d6f56161c51		https://github.com/apache/hbase/commit/cebb725a9f4ab8dd9d3f306d21d53d6f56161c51				Test and Code	1																
apache/hbase	016cf0c64ba867f740a19472f0fe716ee67306b1		https://github.com/apache/hbase/commit/016cf0c64ba867f740a19472f0fe716ee67306b1				Test and Code	7																
apache/hbase	de25fcbd93c59ebb4a4dfd4058f089cdc781f3ac		https://github.com/apache/hbase/commit/de25fcbd93c59ebb4a4dfd4058f089cdc781f3ac	d2349c6f98fef014e49216870f48f854edfaf5dd	TestStochasticLoadBalancer		Test and Code		Hard to classify		Hard to classify	StochasticLoadBalancer, BaseLoadBalancer		3	2	2	6.3, 6.3	8.3, 9.3	0.3, 0.3		1655	1379	561	10
apache/hbase	5280c100ff93f65cd568ce830e088cc12a2f5585		https://github.com/apache/hbase/commit/5280c100ff93f65cd568ce830e088cc12a2f5585	2b88edfd8d6c1cb512abf1d9f3316c50ed342cfc	TestFileIOEngine		Test and Code		Random	Random	Random	FileIOEngine	5	1	1	3	43.9	35.4	38.7		902	1061	502	2
