project,commit,coveredClass,coveredClassPath,isSusFlaky,sm_dates,sm_randoms,sm_io,sm_collections,sm_threads,sm_networks,sm_lines,sm_doi,sm_cc
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LoadResourceQuotaUpdaterTask,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LoadResourceQuotaUpdaterTask.java,0,0,0,0,0,0,0,16,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats.metrics$AbstractMetrics,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/metrics/AbstractMetrics.java,0,0,0,0,1,0,0,213,0,15
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$BundleData,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/BundleData.java,0,0,0,0,0,0,0,82,1,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.utils$CopyOnWriteArrayList,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/utils/CopyOnWriteArrayList.java,0,0,0,0,0,0,0,95,1,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentSubscription,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentSubscription.java,0,0,0,0,0,0,0,632,0,47
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$GenericBrokerHostUsageImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/GenericBrokerHostUsageImpl.java,0,0,0,0,0,0,0,63,0,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.cache$LocalZooKeeperCacheService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/cache/LocalZooKeeperCacheService.java,0,0,0,0,0,0,0,203,0,10
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.stats.prometheus$PrometheusMetricsServlet,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/stats/prometheus/PrometheusMetricsServlet.java,0,0,0,2,0,0,0,47,1,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$PulsarService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/PulsarService.java,0,0,0,0,2,0,0,836,0,42
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin.impl$NamespacesBase,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/impl/NamespacesBase.java,0,0,0,0,0,0,0,1452,2,89
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$LoadManagerShared,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/LoadManagerShared.java,0,0,0,0,5,0,0,487,0,41
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.schema$JsonSchemaCompatibilityCheck,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/schema/JsonSchemaCompatibilityCheck.java,0,0,0,0,0,0,0,18,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundleFactory,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundleFactory.java,0,0,0,0,0,0,0,241,0,14
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.cache$ResourceQuotaCache,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/cache/ResourceQuotaCache.java,0,0,0,0,0,0,0,192,0,5
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$DispatchRateLimiter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/DispatchRateLimiter.java,0,0,0,0,0,0,0,234,0,15
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$AbstractDispatcherSingleActiveConsumer,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/AbstractDispatcherSingleActiveConsumer.java,0,0,0,0,0,0,0,183,0,14
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$PulsarResourceDescription,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/PulsarResourceDescription.java,0,0,0,0,0,0,0,81,1,9
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$BrokerVersionFilter,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/BrokerVersionFilter.java,0,0,0,0,0,0,0,117,0,13
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BacklogQuotaManager,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BacklogQuotaManager.java,0,0,0,0,0,0,0,158,0,9
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance$LoadReportUpdaterTask,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/LoadReportUpdaterTask.java,0,0,0,0,0,0,0,16,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$MessagingServiceShutdownHook,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/MessagingServiceShutdownHook.java,0,0,0,0,0,0,0,81,1,4
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker$BookKeeperClientFactoryImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/BookKeeperClientFactoryImpl.java,0,0,0,0,0,0,0,76,0,9
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$MessageDeduplication,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/MessageDeduplication.java,0,0,0,0,1,0,0,371,0,21
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.common.naming$NamespaceBundles,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/common/naming/NamespaceBundles.java,0,0,0,0,0,0,0,117,0,7
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.client.impl$RawMessageImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/client/impl/RawMessageImpl.java,0,0,0,0,0,0,0,81,0,0
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentTopic,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentTopic.java,0,0,0,0,3,0,0,1640,0,105
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.schema$SchemaRegistryServiceImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/schema/SchemaRegistryServiceImpl.java,0,2,0,0,1,0,0,174,0,5
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BrokerService,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BrokerService.java,0,0,0,0,3,0,6,1354,0,70
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentDispatcherMultipleConsumers,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentDispatcherMultipleConsumers.java,0,0,0,0,0,0,0,566,1,71
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$BrokerServiceException,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/BrokerServiceException.java,0,0,0,0,0,0,0,141,2,8
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.namespace$OwnershipCache,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/namespace/OwnershipCache.java,0,0,0,0,0,0,0,296,0,12
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service$PulsarChannelInitializer,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/PulsarChannelInitializer.java,0,0,0,0,0,0,0,34,1,1
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.admin$AdminResource,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/admin/AdminResource.java,0,0,0,0,0,0,0,402,1,12
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.service.persistent$PersistentMessageExpiryMonitor,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/service/persistent/PersistentMessageExpiryMonitor.java,0,0,0,0,0,0,0,99,0,7
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.client.impl$RawReaderImpl,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/client/impl/RawReaderImpl.java,0,0,0,0,0,0,0,151,0,7
pulsar,0355b1449039bed2a3094a3968d04be8ae67b0ff,org.apache.pulsar.broker.loadbalance.impl$BundleSplitterTask,pulsar/pulsar-broker/src/main/java/org/apache/pulsar/broker/loadbalance/impl/BundleSplitterTask.java,0,0,0,0,0,0,0,70,0,4
